FIPS_N,Issuer,Tax_Supported_Debt,Revenue_Supported_Debt,Lease_Purchase_Obligations,Total_Debt_Outstanding, County_Population ,Debt_per_capita,Total_Debt_Outstanding_per_capitastr,Link,Text_for_link
48177,Gonzales,"$1,660,000",$0,$0,"$1,660,000"," 20,045 ",83,$83,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48179,Gray,"$900,000","$3,885,000",$0,"$4,785,000"," 22,978 ",208,$208,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48181,Grayson,"$57,375,000",$0,$0,"$57,375,000"," 121,935 ",471,$471,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?Countyname=Grayson+County&countysubmit=GO,View Debt Profile
48183,Gregg,$0,$0,$0,$0," 122,658 ",0,$0,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?Countyname=Gregg+County&countysubmit=GO,View Debt Profile
48185,Grimes,"$141,000",$0,$0,"$141,000"," 26,783 ",5,$5,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?countyname=Grimes+County&countysubmit=GO,View Debt Profile
48187,Guadalupe,"$15,915,000",$0,$0,"$15,915,000"," 139,841 ",114,$114,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?Countyname=Guadalupe+County&countysubmit=GO,View Debt Profile
48189,Hale,$0,$0,$0,$0," 36,385 ",0,$0,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?countyname=Hale+County&countysubmit=GO,View Debt Profile
48191,Hall,$0,$0,$0,$0," 3,293 ",0,$0,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48193,Hamilton,"$936,000",$0,$0,"$936,000"," 8,307 ",113,$113,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48195,Hansford,$0,$0,$0,$0," 5,521 ",0,$0,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48197,Hardeman,$0,$0,$0,$0," 4,082 ",0,$0,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48199,Hardin,"$2,760,000",$0,$0,"$2,760,000"," 55,190 ",50,$50,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?countyname=Hardin+County&countysubmit=GO,View Debt Profile
48201,Harris,"$2,574,980,190","$2,022,375,000",$0,"$4,597,355,190"," 4,253,700 ",1081,"$1,081",http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?Countyname=Harris+County&countysubmit=GO,View Debt Profile
48203,Harrison,"$4,025,000",$0,$0,"$4,025,000"," 67,450 ",60,$60,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?countyname=Harrison+County&countysubmit=GO,View Debt Profile
48205,Hartley,$0,$0,$0,$0," 6,144 ",0,$0,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48207,Haskell,$0,$0,$0,$0," 5,901 ",0,$0,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48209,Hays,"$283,230,000",$0,$0,"$283,230,000"," 168,990 ",1676,"$1,676",http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?Countyname=Hays+County&countysubmit=GO,View Debt Profile
48211,Hemphill,$0,$0,$0,$0," 4,080 ",0,$0,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48213,Henderson,"$4,735,000",$0,$0,"$4,735,000"," 79,094 ",60,$60,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?Countyname=Henderson+County&countysubmit=GO,View Debt Profile
48215,Hidalgo,"$174,275,000",$0,$0,"$174,275,000"," 806,552 ",216,$216,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?Countyname=Hidalgo+County&countysubmit=GO,View Debt Profile
48217,Hill,"$6,305,000",$0,$0,"$6,305,000"," 35,115 ",180,$180,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?countyname=Hill+County&countysubmit=GO,View Debt Profile
48219,Hockley,"$10,770,000",$0,$0,"$10,770,000"," 23,072 ",467,$467,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48221,Hood,"$16,550,000",$0,"$4,505,000","$21,055,000"," 52,044 ",405,$405,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?countyname=Hood+County&countysubmit=GO,View Debt Profile
48223,Hopkins,"$5,467,143",$0,$0,"$5,467,143"," 35,469 ",154,$154,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?countyname=Hopkins+County&countysubmit=GO,View Debt Profile
